start	end	text
0	8320	Hey, so I wanted to show using Claude code to write Cypress tests.
9040	16840	And the reason I want to show this is because, you know, we've all said lately that we don't have time to write automated tests.
16840	31480	And I do believe that between, you know, feature work, bug fixes and just keeping prod online, you know, through the wrestling season, you know, things like test coverage keep getting pushed down in the priority list.
32940	35200	But, you know, we're spending a lot of time fixing bugs.
35320	40680	There's regressions, stuff that would have been caught with a good end to end test suite.
40680	47640	So we're paying the same, you know, time penalty just on the back end instead of the front end.
49000	51660	You know, the other issue is Cypress itself.
52980	59100	We have historically used Cypress, but our team doesn't really have a lot of experience with Cypress today.
59800	62900	So there's kind of a friction there and a learning curve.
62900	70340	They have to figure out selectors and, you know, async stuff and all the other Cypress best practices.
70920	75400	And that's all friction that just makes it easier to not write the tests.
76160	82580	So in a former life, I was a front end developer and I wrote some Cypress tests, but I don't really remember too much.
83140	89980	To be honest, I know the general structure, but I definitely don't remember like the exact syntax, so to say.
89980	92800	But thankfully, Claude does.
93480	100580	So I've basically just taken a screenshot of our schedule page and given that to Claude.
101940	107880	The details of my prompting don't really matter, I guess, but I gave it a screenshot.
107880	121640	I told it about Cypress testing library, which is like a, I don't know, just a library that gives like some better Cypress hooks or whatever you want to call them.
122300	126060	And then I also gave it just some like guiding principles.
126060	137320	I gave it this link from Kent C. Dodds of JavaScript fame, just about, I don't know, some philosophy about how to write good end-to-end tests.
137660	143000	I think I gave it this and maybe, yeah, this was the big quote that I wanted Claude to embody.
143000	154640	So anyway, after giving it that and the screenshot, it did a pretty good job of generating an entire schedule Cypress suite.
155700	158580	And it does not one-shot it, right?
158580	165700	So I'm showing this error here that I ran into because it does make mistakes.
166700	172700	This is not a panacea or whatever you call it.
172780	175960	But you can see it does run the tests.
176300	179760	And like this one I was showing in particular because it's failing.
179760	182640	And I'm going to try and have Claude fix this.
184240	188800	And I figured I'd just show like some of the ways I might iterate on it.
188900	193540	Because obviously it's cool to say that you can generate like an entire Cypress suite.
193740	195160	But what happens when it doesn't work?
195780	197640	So there might be a better way to do this.
197700	202180	But I was just taking like the assertion errors and copying these over to Claude.
202180	215580	And pasting it and saying, I don't know, that this is failing, please fix, right?
215900	220640	And I don't know that it will actually work.
220760	225320	That's the fun part of doing demos with non-deterministic software.
225320	232900	But it got me, I don't know, 20 different Cypress tests.
233000	236820	It wrote a bunch of helpers for itself to avoid code duplication.
237840	242900	And it's written tests for like all the different bits of our schedule.
243160	247340	So I had it write tests for like the various filters.
247460	248540	That's what I was showing there.
248960	252500	Searching, you know, clicking through all of this stuff.
252500	256860	Making sure that like these counts align.
257800	260560	Going into the calendar, it manipulates all that.
261920	265580	So that's just going to allow us to iterate on this stuff, you know,
265620	267440	with the confidence of an end-to-end test suite.
267700	272360	And, you know, minimal friction for having to have written it.
273160	278340	So hopefully we can do a lot more of this and beef up the test suite there.
